wdid,name,position
Q6800406,Luis Lacalle Pou,Presidente de la República
Q5724101,Beatriz Argimón,Vicepresidenta
Q17622167,Azucena Arbeleche,Economía y Finanzas
Q6436401,Francisco Bustillo,Relaciones Exteriores
Q87157116,Daniel Salinas,Salud Pública
Q6700272,Luis Alberto Heber,Interior
Q42392625,Pablo Da Silveira,Educación y Cultura
Q3163146,Javier García,Ministerio de Defensa Nacional
Q41777347,Martín Lema,Desarrollo Social
Q107365095,Fernando Mattos,"Ganadería, Agricultura y Pesca"
Q96276487,Omar Paganini,"Industria, Energía y Minería"
Q1709330,José Luis Falero,Transporte y Obras Públicas
Q72980918,Irene Moreira,Vivienda y Ordenamiento Territorial
Q1688988,Pablo Mieres,Trabajo y Seguridad Social
Q1621502,Tabaré Viera,Turismo
Q76823104,Adrián Peña,Ambiente
Q26727956,Álvaro Delgado,Secretario de la Presidencia
Q5920552,Isaac Alfie,Planeamiento y Presupuesto
